Obim0|KOF62257.1	OG5_130105	pfal|PF11_0197	7	-12	46	95
Obim0|KOF62258.1	OG5_174413	tvag|TVAG_496780	1	-07	39	94
Obim0|KOF62259.1	OG5_158651	aaeg|AAEL007129-PA	5	-09	33	79
Obim0|KOF62263.1	OG5_134727	phum|PHUM538020	9	-53	43	95
Obim0|KOF62265.1	OG5_126771	hsap|ENSP00000258883	1	-63	34	68
Obim0|KOF62266.1	OG5_172059	mdom|ENSMODP00000008365	3	-16	42	83
Obim0|KOF62270.1	OG5_136318	trub|ENSTRUP00000009800	5	-29	26	88
Obim0|KOF62271.1	OG5_136318	trub|ENSTRUP00000009800	4	-27	26	88
Obim0|KOF62272.1	OG5_136318	drer|ENSDARP00000032530	6	-20	25	98
Obim0|KOF62274.1	OG5_126619	apis|XP_001945971	9	-92	33	99
Obim0|KOF62275.1	OG5_126619	apis|XP_001945971	4	-65	33	100
Obim0|KOF62276.1	OG5_128415	dmel|FBpp0072681	2	-12	36	99
Obim0|KOF62278.1	OG5_127235	tnig|ENSTNIP00000015728	3	-64	44	94
Obim0|KOF62280.1	OG5_134569	tnig|ENSTNIP00000019923	1	-61	43	93
Obim0|KOF62282.1	OG5_127005	phum|PHUM167080	4	-53	86	100
Obim0|KOF62283.1	OG5_142009	nvec|fgenesh1_pg.scaffold_241000013	8	-18	27	75
Obim0|KOF62284.1	NO_GROUP	ptro|ENSPTRP00000045715	4	-26	56	100
Obim0|KOF62285.1	OG5_127200	sman|Smp_002280	4	-21	58	62
Obim0|KOF62286.1	OG5_126539	apis|XP_001949223	1	-115	58	96
Obim0|KOF62287.1	OG5_126539	apis|XP_001949223	1	-118	58	96
Obim0|KOF62289.1	OG5_131314	apis|XP_001948812	2	-25	60	100
Obim0|KOF62290.1	OG5_137054	apis|XP_001944015	6	-33	40	71
Obim0|KOF62291.1	OG5_238759	rpro|NP_221049.1	7	-10	25	61
Obim0|KOF62292.1	OG5_126539	apis|XP_001946784	4	-24	47	100
Obim0|KOF62293.1	OG5_134084	isca|EEC12683	2	-12	30	96
Obim0|KOF62295.1	OG5_128792	dmel|FBpp0088794	4	-44	62	86
Obim0|KOF62296.1	OG5_169540	bmor|BGIBMGA012113	2	-22	58	86
Obim0|KOF62297.1	OG5_136053	ggal|ENSGALP00000022921	1	-20	32	91
Obim0|KOF62300.1	OG5_129903	drer|ENSDARP00000051054	2	-32	65	56
Obim0|KOF62302.1	OG5_131584	aaeg|AAEL004048-PA	1	-35	24	90
Obim0|KOF62305.1	OG5_129904	ggal|ENSGALP00000020349	1	-166	49	93
Obim0|KOF62306.1	OG5_215985	nvec|fgenesh1_pg.scaffold_29000008	2	-10	47	96
Obim0|KOF62307.1	OG5_137610	ggal|ENSGALP00000028027	5	-47	49	54
Obim0|KOF62310.1	OG5_126806	ggal|ENSGALP00000001150	1	-179	68	99
Obim0|KOF62311.1	OG5_159714	cpip|CPIJ009839	7	-27	36	99
Obim0|KOF62312.1	NO_GROUP	vcar|XP_002954884	1	-15	22	93
Obim0|KOF62313.1	OG5_126917	vcar|XP_002956570	4	-09	32	92
Obim0|KOF62314.1	OG5_159714	cpip|CPIJ009839	7	-19	30	99
